tweet_id,text,intent,expected_action,label_notes
598458,@117176 @134015 @AskAmex @AppleSupport Makes no sense.  Your page at https://t.co/qI8rCYzuEt shows an Advantage Citibank card working with Apple Pay,OTHER,ANSWER,AI-assisted draft label — human review required.
928785,@AppleSupport and @116333 ignore my tweets on poor iOS 11 battery life. Great service.,BATTERY,TROUBLESHOOT,AI-assisted draft label — human review required.
898800,Meu iPhone esta bugadao. Que merda é essa @115858 @AppleSupport @115858,DEVICE_PERFORMANCE,TROUBLESHOOT,AI-assisted draft label — human review required.
826276,@316815 @115858 @AppleSupport Not only that. Everything lags so bad. Including text messages,DEVICE_PERFORMANCE,TROUBLESHOOT,AI-assisted draft label — human review required.
188532,@AppleSupport Saw link. Have DM you.,OTHER,ESCALATE,AI-assisted draft label — human review required.
519217,@AppleSupport Can’t boot into safe mode &amp; the problem persists,DEVICE_PERFORMANCE,TROUBLESHOOT,AI-assisted draft label — human review required.
266072,@AppleSupport Upgraded 6 plus to iOS 11 now my touchscreen is broken. Can't go back to 10.3.3 or afford the $150 replacement. Please advise,IOS_SOFTWARE,TROUBLESHOOT,AI-assisted draft label — human review required.
315935,"Two weeks in a row now, Mac OS Sierra just gives me a cold hard crash on my rMBP. ""Crashes just work"". @applesupport @191435",IOS_SOFTWARE,TROUBLESHOOT,AI-assisted draft label — human review required.
919196,@338208 @AppleSupport Thanks,OTHER,ANSWER,AI-assisted draft label — human review required.
309271,@AppleSupport @115858 my Iphone 7 has become very slow since the last update. It reminds me now of a old dial up computer. What has this update done 😫😫,IOS_SOFTWARE,TROUBLESHOOT,AI-assisted draft label — human review required.
45599,@AppleSupport hello! I have a strange activity app glitch. It shows my average calories in a day as 18373. https://t.co/GINlpPlVmp,APPS,TROUBLESHOOT,AI-assisted draft label — human review required.
549598,Can I use Apple Pay Cash in the UK? @AppleSupport,OTHER,ANSWER,AI-assisted draft label — human review required.
406624,@AppleSupport Thanks but what if you didn't mean to do it. It just tells you how to report junk. Not how to undo it. 😬,OTHER,ANSWER,AI-assisted draft label — human review required.
941455,@AppleSupport can’t install the last update on my iPad.... how many times in a month? Shame this iOS...,IOS_SOFTWARE,TROUBLESHOOT,AI-assisted draft label — human review required.
794419,"Love this new iOS 11 update. Phone keeps freezing, apps keep shutting &amp; my battery goes down in chunks 👍🏼🙃🤙🏼🤙🏼 @115858 @AppleSupport @O2",BATTERY,TROUBLESHOOT,AI-assisted draft label — human review required.
930940,"@AppleSupport My phone keeps wiping my camera roll, loading it all back up again, then restarting itself.Sone this a good 13 times.h e l p",ICLOUD_BACKUP,TROUBLESHOOT,AI-assisted draft label — human review required.
388934,"@AppleSupport please fix this, my iPhone been doing this all day https://t.co/WhLt2GqjOG",OTHER,TROUBLESHOOT,AI-assisted draft label — human review required.
996757,"@AppleSupport Sent you a message hope it get sorted soon, I really don’t want to fix it myself by buying a @125607",OTHER,TROUBLESHOOT,AI-assisted draft label — human review required.
