tweet_id,customer_message,intent,expected_action,generated_response,best_retrieval_similarity
598458,@117176 @134015 @AskAmex @AppleSupport Makes no sense.  Your page at https://t.co/qI8rCYzuEt shows an Advantage Citibank card working with Apple Pay,OTHER,ANSWER,Let's see if we can help you resolve the issue with updating apps. Try the steps here: Questions? DM us.,0.9739339097265118
928785,@AppleSupport and @116333 ignore my tweets on poor iOS 11 battery life. Great service.,BATTERY,TROUBLESHOOT,"We'd like to help however we can. Send us a DM with the details of your issue, and we can work from there.",1.0
898800,Meu iPhone esta bugadao. Que merda é essa @115858 @AppleSupport @115858,OTHER,TROUBLESHOOT,"Since our Twitter support is available in English, get help at or join",1.0000000000000002
826276,@316815 @115858 @AppleSupport Not only that. Everything lags so bad. Including text messages,OTHER,TROUBLESHOOT,We want to help get things working smoothly for you. DM us and let us know what version of iOS you are running currently.,1.0000000000000002
188532,@AppleSupport Saw link. Have DM you.,OTHER,ESCALATE,We've gotten it and will continue with you there. Be on the lookout for our message. Thanks!,0.40596595440856836
519217,@AppleSupport Can’t boot into safe mode &amp; the problem persists,OTHER,TROUBLESHOOT,"Got it. Let's reset the SMC following these steps: If that doesn't help, join us in DM using the following link:",0.9382325789757682
266072,@AppleSupport Upgraded 6 plus to iOS 11 now my touchscreen is broken. Can't go back to 10.3.3 or afford the $150 replacement. Please advise,HARDWARE_CHARGING,TROUBLESHOOT,"You've reached the right place for support. To start, send us a DM with the country where you're located.",1.0000000000000002
315935,"Two weeks in a row now, Mac OS Sierra just gives me a cold hard crash on my rMBP. ""Crashes just work"". @applesupport @191435",DEVICE_PERFORMANCE,TROUBLESHOOT,Launchpad is a great feature & we're happy to help. What happens when you attempt to use it now; any error messages?,1.0
919196,@338208 @AppleSupport Thanks,OTHER,ANSWER,Absolutely. We look forward to having your feedback.,1.0
309271,@AppleSupport @115858 my Iphone 7 has become very slow since the last update. It reminds me now of a old dial up computer. What has this update done 😫😫,IOS_SOFTWARE,TROUBLESHOOT,We would like to look into this together. Can you please send us a DM so we can gather more details?,1.0000000000000007
45599,@AppleSupport hello! I have a strange activity app glitch. It shows my average calories in a day as 18373. https://t.co/GINlpPlVmp,OTHER,TROUBLESHOOT,We're here to help. Meet us in DM and we'll take a further look at this together.,0.9675574388129953
549598,Can I use Apple Pay Cash in the UK? @AppleSupport,OTHER,ANSWER,"You can. Read more about Apple Pay, including which device and OS you have, here:",1.0000000000000002
406624,@AppleSupport Thanks but what if you didn't mean to do it. It just tells you how to report junk. Not how to undo it. 😬,OTHER,ANSWER,We'd like to clarify what steps you took to report junk. Meet us in DM and we'll continue there.,1.0000000000000002
941455,@AppleSupport can’t install the last update on my iPad.... how many times in a month? Shame this iOS...,IOS_SOFTWARE,TROUBLESHOOT,We can help with updating. What happens when you try to update?,1.0000000000000002
794419,"Love this new iOS 11 update. Phone keeps freezing, apps keep shutting &amp; my battery goes down in chunks 👍🏼🙃🤙🏼🤙🏼 @115858 @AppleSupport @O2",BATTERY,TROUBLESHOOT,We're happy to assist. Shoot us a DM and we'll work with you on this more closely.,0.968334221817791
930940,"@AppleSupport My phone keeps wiping my camera roll, loading it all back up again, then restarting itself.Sone this a good 13 times.h e l p",ICLOUD_BACKUP,TROUBLESHOOT,"We'll point you in the right direction. For help with Photos on iPhone, connect with an Advisor here:",1.0000000000000004
388934,"@AppleSupport please fix this, my iPhone been doing this all day https://t.co/WhLt2GqjOG",OTHER,TROUBLESHOOT,"To make sure we're on the same page, what issue are you experiencing?",0.9409124810969064
996757,"@AppleSupport Sent you a message hope it get sorted soon, I really don’t want to fix it myself by buying a @125607",OTHER,TROUBLESHOOT,We've received your DM and will continue with you there.,1.0
817007,Dear @AppleSupport next time fix the bugs first.  This is frustrating me!,OTHER,TROUBLESHOOT,Maybe we can help. Send us a DM and let us know what's going on. We're here for you.,1.0000000000000004
110862,@AppleSupport Yea I believe so it’s a bit off,OTHER,TROUBLESHOOT,Could you tell us which Apple Watch you're using and the version of watchOS that is installed?,1.0000000000000002
855416,@AppleSupport ever since latest update podcasts don’t play continuously?,AUDIO_MEDIA,TROUBLESHOOT,We can look into this together. What device and update are you using to play your Podcast on?,1.0
143571,@AppleSupport Also the front camera seems to not work either now. Here is a screen shot https://t.co/mqitfembKY,HARDWARE_CHARGING,TROUBLESHOOT,We'd like to keep working on this with you. DM us and we'll continue there.,0.9649958270340615
354078,"@AppleSupport Hi, how do I inquire about being double billed for a purchase on Apple TV? #help",OTHER,ESCALATE,Thanks for reaching out. You can contact our iTunes Store support team for help here:,1.0
681994,"@AppleSupport No,continue after iOS  11 first update",IOS_SOFTWARE,TROUBLESHOOT,Thank you for those details. We want to look into this further. Let's continue in DM.,1.0
945535,@AppleSupport last iOS upgrade just made my iPhone slower and it heats to much. Seems it has to work more and the battery runs out faster,BATTERY,TROUBLESHOOT,Sorry to hear you're having issues! Which specific iOS version are you running?,1.0
872521,@AppleSupport All this new update has done is fuck my phone up.. Problems with home screen now no time &amp; battery percentage?? https://t.co/Gx8X3d4Fot,BATTERY,TROUBLESHOOT,"We recently released iOS 11.0.3. Have you had the chance to update yet? If not, let's have you update to see if that helps.",0.942299230242545
584761,"Sorry, @AppleSupport but the #iPhone‘s #battery usage report is absolutely useless if it’s lying to me! What the hell is draining my battery so fast? Got that since the #iOS11 GM release! Betas before have been ok https://t.co/CCrQirE91J",BATTERY,TROUBLESHOOT,We’re here to help. Please DM us the device model you’re using so we can better assist you.,0.9840152877283211
720471,@292433 @198612 @115858 @AppleSupport Mine seems ok now as well. Talked to a guy at apple and he said it could be something updating during activation causing it👌🏼,OTHER,TROUBLESHOOT,That is great news! Please reach out if you need further assistance.,1.0
236818,"@AppleSupport @116333 wonder where all the Apple Quality disappeared? Does ""__email__"" works? Sent entire details as none could help - hope to see response",OTHER,ANSWER,We'd like to look into this with you. Send us a DM and we'll continue from there.,0.26874511509328497
